from_id,to_id,fromid_toid,route_number,at,from_x,from_y,to_x,to_y,total_route_time,route_time,route_distance,route_total_lines
5861326,5865019,5861326_5865019,1,08:10:00,24.9704379,60.3119173,24.798924,60.3046958,89,76,16747.5,2
5861326,5865020,5861326_5865020,1,08:10:00,24.9704379,60.3119173,24.8034444,60.3047706,93,80,16997.5,2
5861326,5865021,5861326_5865021,1,08:34:00,24.9704379,60.3119173,24.8079648,60.3048453,76,55,14914.8,2
5861326,5865022,5861326_5865022,1,08:34:00,24.9704379,60.3119173,24.8124853,60.3049198,72,51,14652.2,2
5861326,5865023,5861326_5865023,1,08:34:00,24.9704379,60.3119173,24.8170058,60.3049941,65,43,14084.5,2
5861326,5865024,5861326_5865024,1,08:34:00,24.9704379,60.3119173,24.8215263,60.3050683,62,41,13926.5,2
5861326,5865025,5861326_5865025,1,08:34:00,24.9704379,60.3119173,24.8260468,60.3051424,59,36,13594.2,2
5861326,5865026,5861326_5865026,1,08:34:00,24.9704379,60.3119173,24.8305674,60.3052163,62,39,13774.1,2
5861326,5865027,5861326_5865027,1,08:34:00,24.9704379,60.3119173,24.835088,60.30529,55,34,13211.7,2
5861326,5865028,5861326_5865028,1,08:00:00,24.9704379,60.3119173,24.8396086,60.3053636,42,36,9618.7,1
5861326,5865029,5861326_5865029,1,08:00:00,24.9704379,60.3119173,24.8441292,60.305437,39,33,9420.3,1
5861326,5865030,5861326_5865030,1,08:00:00,24.9704379,60.3119173,24.8486499,60.3055103,38,32,9354.6,1
5861326,5865031,5861326_5865031,1,08:00:00,24.9704379,60.3119173,24.8531705,60.3055834,39,33,9434.6,1
5861326,5865032,5861326_5865032,1,08:00:00,24.9704379,60.3119173,24.8576912,60.3056564,41,35,9589.7,1
5861326,5865033,5861326_5865033,1,08:23:00,24.9704379,60.3119173,24.862212,60.3057292,45,32,10133.2,2
5861326,5865034,5861326_5865034,1,08:23:00,24.9704379,60.3119173,24.8667327,60.3058019,45,33,10262.6,2
5861326,5865035,5861326_5865035,1,08:23:00,24.9704379,60.3119173,24.8712535,60.3058744,48,36,10219.3,2
5861326,5865036,5861326_5865036,1,08:00:00,24.9704379,60.3119173,24.8757743,60.3059467,43,35,6542.2,1
5861326,5865037,5861326_5865037,1,08:00:00,24.9704379,60.3119173,24.8802951,60.3060189,39,30,6220.9,1
5861326,5865038,5861326_5865038,1,08:00:00,24.9704379,60.3119173,24.8848159,60.306091,37,27,5992.8,1
5861326,5865039,5861326_5865039,1,08:23:00,24.9704379,60.3119173,24.8893368,60.3061629,39,28,6124.2,1
5861326,5865040,5861326_5865040,1,08:23:00,24.9704379,60.3119173,24.8938577,60.3062346,38,26,5523.9,1
5861326,5865041,5861326_5865041,1,08:23:00,24.9704379,60.3119173,24.8983786,60.3063062,35,22,5305.1,1
5861326,5865042,5861326_5865042,1,08:23:00,24.9704379,60.3119173,24.9028995,60.3063776,38,25,5518.4,1
5861326,5865043,5861326_5865043,1,08:23:00,24.9704379,60.3119173,24.9074205,60.3064489,39,26,4753.4,1
5861326,5865044,5861326_5865044,1,08:23:00,24.9704379,60.3119173,24.9119415,60.30652,41,28,4880.2,1
5861326,5865045,5861326_5865045,1,08:06:00,24.9704379,60.3119173,24.9164625,60.306591,52,45,4525.2,1
5861326,5865046,5861326_5865046,1,08:06:00,24.9704379,60.3119173,24.9209835,60.3066618,45,38,4026.2,1
5861326,5865047,5861326_5865047,1,08:06:00,24.9704379,60.3119173,24.9255045,60.3067325,41,34,3744.8,1
